iter	RMSE
0	238.5850494
1	221.3079222
2	206.5405745
3	192.9043656
4	180.4985536
5	169.0678318
6	158.9918672
7	150.7236223
8	142.6487662
9	135.1284435
10	129.6829033
11	123.3950215
12	118.2734748
13	113.7356004
14	109.9350675
15	107.444293
16	104.2254447
17	101.0757444
18	98.24248568
19	95.45869279
20	93.53672161
21	91.63915375
22	89.483402
23	88.38553346
24	86.84430726
25	85.50536634
26	84.1500816
27	83.19575235
28	82.33700911
29	81.63440935
30	80.77966721
31	79.46053287
32	78.68779782
33	77.52520814
34	76.63750773
35	76.04053719
36	75.57861571
37	74.7890004
38	74.37585893
39	73.95626246
40	73.19097731
41	72.4147015
42	71.98314607
43	71.52050875
44	71.12976302
45	70.74282693
46	70.15699955
47	69.86190609
48	69.7620713
49	69.46296189
50	69.17787317
51	68.76518234
52	68.49225729
53	68.12249756
54	67.66716988
55	67.09313845
56	66.87290796
57	66.36753672
58	66.14234265
59	65.79879233
60	65.63358142
61	65.31321576
62	64.93939224
63	64.75887022
64	64.46481217
65	64.1066697
66	63.69036013
67	63.31269015
68	62.97016374
69	62.62807089
70	62.37021487
71	62.13399668
72	61.78776287
73	61.6022089
74	61.33888402
75	61.05711023
76	60.7727842
77	60.60029933
78	60.39163642
79	60.11089362
80	59.9717507
81	59.82952197
82	59.63979635
83	59.45474368
84	59.22178582
85	58.96442074
86	58.78976202
87	58.59378103
88	58.42993552
89	58.27327738
90	58.14837963
91	58.02094143
92	57.83253607
93	57.7092559
94	57.56280593
95	57.46681204
96	57.35441488
97	57.21846113
98	57.08757029
99	56.99627185
