iter	Passed	Remaining
0	1	102
1	2	141
2	4	152
3	6	156
4	11	226
5	14	219
6	15	211
7	17	196
8	18	191
9	20	187
10	22	183
11	27	199
12	29	194
13	30	189
14	32	185
15	33	175
16	35	173
17	37	169
18	41	177
19	44	176
20	45	172
21	47	168
22	49	166
23	51	163
24	53	160
25	58	166
26	60	162
27	62	159
28	64	158
29	65	153
30	67	149
31	69	146
32	73	149
33	75	146
34	77	144
35	79	141
36	81	138
37	83	135
38	84	132
39	90	135
40	92	133
41	94	130
42	96	128
43	98	125
44	100	122
45	105	123
46	107	121
47	108	118
48	109	114
49	111	111
50	113	108
51	115	106
52	120	106
53	122	104
54	124	102
55	127	99
56	128	97
57	130	94
58	135	94
59	138	92
60	140	89
61	141	86
62	143	84
63	145	81
64	147	79
65	151	78
66	153	75
67	155	73
68	157	70
69	159	68
70	161	65
71	162	63
72	167	61
73	169	59
74	171	57
75	173	54
76	175	52
77	176	49
78	178	47
79	183	45
80	186	43
81	187	41
82	189	38
83	191	36
84	193	34
85	197	32
86	199	29
87	201	27
88	203	25
89	205	22
90	207	20
91	208	18
92	213	16
93	217	13
94	219	11
95	221	9
96	223	6
97	224	4
98	230	2
99	232	0
